serial_number,the_date,num
iotsg-100000-00002367,06/08/1976 12:34,1
iotsg-100000-00004239,07/08/1976 12:34,2
iotsg-100000-00004230,08/08/1976 12:34,3
iotsg-100000-00004409,09/08/1976 12:34,4
iotsg-100000-00004411,10/08/1976 12:34,5
iotsg-100000-00004349,11/08/1976 12:34,6
iotsg-100000-00004329,12/08/1976 12:34,7
iotsg-100000-00004379,13/08/1976 12:34,8
iotsg-100000-00002789,14/08/1976 12:34,9
iotsg-100000-00004331,15/08/1976 12:34,10
iotsg-100000-00002901,16/08/1976 12:34,11
iotsg-100000-00004332,17/08/1976 12:34,12
iotsg-100000-00004387,18/08/1976 12:34,13
iotsg-100000-00004386,19/08/1976 12:34,14
iotsg-100000-00004421,20/08/1976 12:34,15
iotsg-100000-00004393,21/08/1976 12:34,16
iotsg-100000-00004394,22/08/1976 12:34,17
iotsg-100000-00004343,23/08/1976 12:34,18
iotsg-100000-00004212,24/08/1976 12:34,19
iotsg-100000-00002384,25/08/1976 12:34,20
iotsg-100000-00004330,26/08/1976 12:34,21
iotsg-100000-00004238,27/08/1976 12:34,22
iotsg-100000-00004420,28/08/1976 12:34,23
iotsg-100000-00004210,29/08/1976 12:34,24
iotsg-100000-00004378,30/08/1976 12:34,25
iotsg-100000-00004333,31/08/1976 12:34,26
iotsg-100000-00002394,01/09/1976 12:34,27
iotsg-100000-00002395,02/09/1976 12:34,28
iotsg-100000-00002366,03/09/1976 12:34,29
iotsg-100000-00004218,04/09/1976 12:34,30
iotsg-100000-00002387,05/09/1976 12:34,31
iotsg-100000-00004403,06/09/1976 12:34,32
iotsg-100000-00002386,07/09/1976 12:34,33
iotsg-100000-00002787,08/09/1976 12:34,34
iotsg-100000-00004334,09/09/1976 12:34,35
iotsg-100000-00004377,10/09/1976 12:34,36
iotsg-100000-00001891,11/09/1976 12:34,37
iotsg-100000-00004211,12/09/1976 12:34,38
iotsg-100000-00004327,13/09/1976 12:34,39
iotsg-100000-00004414,14/09/1976 12:34,40
iotsg-100000-00004340,15/09/1976 12:34,41
iotsg-100000-00004413,16/09/1976 12:34,42
iotsg-100000-00002397,17/09/1976 12:34,43
iotsg-100000-00004341,18/09/1976 12:34,44
iotsg-100000-00004415,19/09/1976 12:34,45
iotsg-100000-00004401,20/09/1976 12:34,46
iotsg-100000-00004336,21/09/1976 12:34,47
iotsg-100000-00002801,22/09/1976 12:34,48
iotsg-100000-00004243,23/09/1976 12:34,49
iotsg-100000-00002820,24/09/1976 12:34,50
iotsg-100000-00002393,25/09/1976 12:34,51
iotsg-100000-00004426,26/09/1976 12:34,52
iotsg-100000-00002368,27/09/1976 12:34,53
iotsg-100000-00003388,28/09/1976 12:34,54
iotsg-100000-00004270,29/09/1976 12:34,55
iotsg-100000-00004235,30/09/1976 12:34,56
iotsg-100000-00004265,01/10/1976 12:34,57
iotsg-100000-00001920,02/10/1976 12:34,58
iotsg-100000-00004291,03/10/1976 12:34,59
iotsg-100000-00002719,04/10/1976 12:34,60
iotsg-100000-00001007,05/10/1976 12:34,61
iotsg-100000-00001727,06/10/1976 12:34,62
iotsg-100000-00000977,07/10/1976 12:34,63
iotsg-100000-00000757,08/10/1976 12:34,64
iotsg-100000-00000905,09/10/1976 12:34,65
iotsg-100000-00000395,10/10/1976 12:34,66
iotsg-100000-00003212,11/10/1976 12:34,67
iotsg-100000-00004300,12/10/1976 12:34,68
iotsg-100000-00002125,13/10/1976 12:34,69
iotsg-100000-00004288,14/10/1976 12:34,70
iotsg-100000-00004203,15/10/1976 12:34,71
iotsg-100000-00002420,16/10/1976 12:34,72
iotsg-100000-00004256,17/10/1976 12:34,73
iotsg-100000-00000400,18/10/1976 12:34,74
iotsg-100000-00004255,19/10/1976 12:34,75
iotsg-100000-00002333,20/10/1976 12:34,76
iotsg-100000-00000649,21/10/1976 12:34,77
iotsg-100000-00000304,22/10/1976 12:34,78
iotsg-100000-00004202,23/10/1976 12:34,79
iotsg-100000-00000812,24/10/1976 12:34,80
iotsg-100000-00001471,25/10/1976 12:34,81
iotsg-100000-00001934,26/10/1976 12:34,82
iotsg-100000-00001728,27/10/1976 12:34,83
iotsg-100000-00001826,28/10/1976 12:34,84
iotsg-100000-00000767,29/10/1976 12:34,85
iotsg-100000-00000974,30/10/1976 12:34,86
iotsg-100000-00000758,31/10/1976 12:34,87
iotsg-100000-00000922,01/11/1976 12:34,88
iotsg-100000-00004199,02/11/1976 12:34,89
iotsg-100000-00002912,03/11/1976 12:34,90
iotsg-100000-00000856,04/11/1976 12:34,91
iotsg-100000-00001922,05/11/1976 12:34,92
iotsg-100000-00001933,06/11/1976 12:34,93
iotsg-200000-00000141,07/11/1976 12:34,94
iotsg-100000-00000895,08/11/1976 12:34,95
iotsg-100000-00001940,09/11/1976 12:34,96
iotsg-100000-00001687,10/11/1976 12:34,97
iotsg-100000-00001300,11/11/1976 12:34,98
iotsg-100000-00000324,12/11/1976 12:34,99
iotsg-100000-00000938,13/11/1976 12:34,100
iotsg-100000-00002990,14/11/1976 12:34,101
iotsg-100000-00001918,15/11/1976 12:34,102
iotsg-100000-00003125,16/11/1976 12:34,103
iotsg-100000-00001732,17/11/1976 12:34,104
iotsg-100000-00000933,18/11/1976 12:34,105
iotsg-100000-00000377,19/11/1976 12:34,106
iotsg-100000-00001565,20/11/1976 12:34,107
iotsg-100000-00000769,21/11/1976 12:34,108
iotsg-100000-00000620,22/11/1976 12:34,109
iotsg-100000-00004240,23/11/1976 12:34,110
iotsg-100000-00004328,24/11/1976 12:34,111
iotsg-100000-00004322,25/11/1976 12:34,112
iotsg-100000-00002913,26/11/1976 12:34,113
iotsg-100000-00004416,27/11/1976 12:34,114
iotsg-100000-00004352,28/11/1976 12:34,115
iotsg-100000-00004392,29/11/1976 12:34,116
iotsg-100000-00002396,30/11/1976 12:34,117
iotsg-100000-00004376,01/12/1976 12:34,118
iotsg-100000-00004348,02/12/1976 12:34,119
iotsg-100000-00004321,03/12/1976 12:34,120
iotsg-100000-00004418,04/12/1976 12:34,121
iotsg-100000-00004404,05/12/1976 12:34,122
iotsg-100000-00004339,06/12/1976 12:34,123
iotsg-100000-00004417,07/12/1976 12:34,124
iotsg-100000-00004017,08/12/1976 12:34,125
iotsg-100000-00003215,09/12/1976 12:34,126
iotsg-100000-00004391,10/12/1976 12:34,127
iotsg-100000-00004390,11/12/1976 12:34,128
iotsg-100000-00004246,12/12/1976 12:34,129
iotsg-100000-00004290,13/12/1976 12:34,130
iotsg-100000-00004353,14/12/1976 12:34,131
iotsg-100000-00004209,15/12/1976 12:34,132
iotsg-100000-00004400,16/12/1976 12:34,133
iotsg-100000-00004205,17/12/1976 12:34,134
iotsg-100000-00004398,18/12/1976 12:34,135
iotsg-100000-00004419,19/12/1976 12:34,136
iotsg-100000-00003379,20/12/1976 12:34,137
iotsg-100000-00004344,21/12/1976 12:34,138
iotsg-100000-00004380,22/12/1976 12:34,139
iotsg-100000-00004402,23/12/1976 12:34,140
iotsg-100000-00004234,24/12/1976 12:34,141
iotsg-100000-00004241,25/12/1976 12:34,142
iotsg-100000-00004359,26/12/1976 12:34,143
iotsg-100000-00004337,27/12/1976 12:34,144
